S/No,Block,Street Name ,Storey ,Floor Area (sqm) /,Remaining Lease (years),Resale Price,Resale Registration Date,Avg Storey
1,818A, Choa Chu Kang Ave 1,01 to 03,92,93,525000,2023-06-01,2.0
2,249, Choa Chu Kang Ave 2,04 to 06,104,69,485000,2023-06-01,5.0
3,289, Choa Chu Kang Ave 3,04 to 06,104,69,445000,2023-06-01,5.0
4,429, Choa Chu Kang Ave 4,10 to 12,104,69,450000,2023-06-01,11.0
5,442, Choa Chu Kang Ave 4,13 to 15,91,72,448888,2023-06-01,14.0
6,465, Choa Chu Kang Ave 4,04 to 06,104,75,470000,2023-06-01,5.0
7,476C, Choa Chu Kang Ave 5,13 to 15,92,89,510000,2023-06-01,14.0
8,484C, Choa Chu Kang Ave 5,10 to 12,101,74,460000,2023-06-01,11.0
9,485A, Choa Chu Kang Ave 5,01 to 03,101,75,455000,2023-06-01,2.0
10,489C, Choa Chu Kang Ave 5,07 to 09,93,92,520000,2023-06-01,8.0
11,812A, Choa Chu Kang Ave 7,16 to 18,93,93,560000,2023-06-01,17.0
12,812B, Choa Chu Kang Ave 7,10 to 12,93,93,550000,2023-06-01,11.0
13,815A, Choa Chu Kang Ave 7,01 to 03,93,92,503000,2023-06-01,2.0
14,815C, Choa Chu Kang Ave 7,04 to 06,93,92,525000,2023-06-01,5.0
15,815C, Choa Chu Kang Ave 7,10 to 12,93,92,588000,2023-06-01,11.0
16,670, Choa Chu Kang Cres,01 to 03,103,75,460000,2023-06-01,2.0
17,684B, Choa Chu Kang Cres,10 to 12,90,78,465000,2023-06-01,11.0
18,685C, Choa Chu Kang Cres,07 to 09,85,78,438000,2023-06-01,8.0
19,685C, Choa Chu Kang Cres,10 to 12,85,78,470000,2023-06-01,11.0
20,206, Choa Chu Kang Ctrl,01 to 03,104,64,485000,2023-06-01,2.0
21,209, Choa Chu Kang Ctrl,04 to 06,106,65,520000,2023-06-01,5.0
22,210, Choa Chu Kang Ctrl,04 to 06,104,65,515000,2023-06-01,5.0
23,215, Choa Chu Kang Ctrl,10 to 12,103,65,508000,2023-06-01,11.0
24,219, Choa Chu Kang Ctrl,10 to 12,106,65,522888,2023-06-01,11.0
25,226, Choa Chu Kang Ctrl,07 to 09,104,68,515000,2023-06-01,8.0
26,230, Choa Chu Kang Ctrl,04 to 06,111,66,510000,2023-06-01,5.0
27,231, Choa Chu Kang Ctrl,01 to 03,104,65,476888,2023-06-01,2.0
